Model,AUC,Accuracy,F1,MAP,MCC,Precision,Recall
transformer,0.5,0.8558187435633368,0.8558187435633369,0.14418125643666324,0.7116374969482422,0.8558187435633368,0.8558187435633368
lstmfcn,0.8150323190648101,0.8611740473738414,0.8611740473738414,0.1789786569125324,0.7223480939865112,0.8611740473738414,0.8611740473738414
cnn,0.7875040398831014,0.905870236869207,0.905870236869207,0.4392178367461581,0.7221390008926392,0.905870236869207,0.905870236869207
fcn,0.6633443355681623,0.8560247167868177,0.8560247167868177,0.14567407189446324,0.7120494842529297,0.8560247167868177,0.8560247167868177
resnet,0.5958844765342961,0.15345005149330587,0.15345005149330587,0.14146771302566172,-0.6930999159812927,0.15345005149330587,0.15345005149330587
